love,lʌv,<ul><li><a>amor</a><br></li><li><a></a><a>pasión</a><br></li><li><a></a><a></a><a>cariño</a><br></li><li><a></a><a></a><a>afición</a><br></li><li><a></a><a></a><a>amar</a><br></li><li><a></a><a></a><a>encantar</a><br></li><li><a></a><a></a><a>querer</a><br></li><li><a></a><a></a><a>adorar</a><br></li></ul>,"<img src=""01_0013.jpg"" />",[sound:01_0013.mp3],[sound:01_0013_meaning.mp3],[sound:01_0013_example.mp3],To <i>love</i> is to like something or someone a lot.,<i>Amar</i> es gustar mucho de algo o alguien.,I <b>love</b> my family very much.,<b>Amo</b> mucho a mi familia.
month,mʌnθ,<ul><li><a>mes</a><br></li></ul>,"<img src=""01_0014.jpg"" />",[sound:01_0014.mp3],[sound:01_0014_meaning.mp3],[sound:01_0014_example.mp3],A <i>month</i> is one of 12 periods of time in one year.,Un <i>mes</i> es uno de los 12 periodos de tiempo en un año.,January is the first <b>month</b> of the year.,Enero es el primer <b>mes</b> del año.
travel,ˈtrævl,<ul><li><a>viajar</a><br></li><li><a></a><a>recorrer</a><br></li><li><a></a><a></a><a>desplazarse</a><br></li><li><a></a><a></a><a>propagarse</a><br></li><li><a></a><a></a><a>ir</a><br></li><li><a></a><a></a><a>viajes</a><br></li><li><a></a><a></a><a>viaje</a><br></li><li><a></a><a></a><a>recorrido</a><br></li><li><a>desplazamiento</a></li><li><a>carrera</a></li><li><a>desplazamientos<br></a></li></ul>,"<img src=""01_0015.jpg"" />",[sound:01_0015.mp3],[sound:01_0015_meaning.mp3],[sound:01_0015_example.mp3],To <i>travel</i> is to go to a faraway place on vacation or business.,<i>Viajar</i> es ir a un lugar lejano de vacaciones o negocios.,They will <b>travel</b> to Argentina this summer.,Ellos <b>viajarán</b> a Argentina este verano.
typical,ˈtɪpɪkl,<div><ul><li>típico</li><li>característico</li><li>habitual</li><li>normal</li><li>corriente</li></ul></div>,"<img src=""01_0016.jpg"" />",[sound:01_0016.mp3],[sound:01_0016_meaning.mp3],[sound:01_0016_example.mp3],"If something is <i>typical</i>, it is normal, or something that usually happens.","Si algo es <i>típico</i>, es normal o algo que suele suceder.",My <b>typical</b> breakfast is toast and eggs.,Mi <b>desayuno típico</b> es pan tostado y huevos.
visit,ˈvɪzɪt,<ul><li><a>visita</a><br></li><li><a></a><a>consulta</a><br></li><li><a></a><a></a><a>estancia</a><br></li><li><a></a><a>recorrido</a><br></li><li><a></a><a></a><a>visitar</a><br></li><li><a></a><a></a><a>ir</a><br></li><li><a></a><a></a><a>consultar</a><br></li><li><a>ver</a></li></ul>,"<img src=""01_0017.jpg"" />",[sound:01_0017.mp3],[sound:01_0017_meaning.mp3],[sound:01_0017_example.mp3],To <i>visit</i> is to go and spend time in another place or see another person.,<i>Visitar</i> es ir y pasar tiempo en otro lugar o ver a otra persona.,She wants to <b>visit</b> her grandmother.,Ella quiere <b>visitar</b> a su abuela.
weather,ˈweðər,<ul><li>clima</li><li>tiempo</li><li>meteorológico</li><li>capear</li><li>curtir</li><li>aguantar</li></ul>,"<img src=""01_0018.jpg"" />",[sound:01_0018.mp3],[sound:01_0018_meaning.mp3],[sound:01_0018_example.mp3],<i>Weather</i> is the temperature and the state of the outdoors.,El <i>clima</i> es la temperatura y el estado del exterior.,Today’s <b>weather</b> is rainy and cloudy.,El <b>clima</b> de hoy es lluvioso y nublado.
week,wiːk,<ul><li><a>semana</a><br></li></ul>,"<img src=""01_0019.jpg"" />",[sound:01_0019.mp3],[sound:01_0019_meaning.mp3],[sound:01_0019_example.mp3],A <i>week</i> is a period of time that is seven days long.,Una <i>semana</i> es un periodo de tiempo que dura siete días.,What are you doing next <b>week</b>?,¿Qué harás la próxima <b>semana</b>?
wine,waɪn,<ul><li><a>de vino</a><br></li><li><a></a><a>vitivinícola</a><br></li><li><a></a><a>vinatero</a><br></li><li><a></a><a></a><a>vino</a><br></li></ul>,"<img src=""01_0020.jpg"" />",[sound:01_0020.mp3],[sound:01_0020_meaning.mp3],[sound:01_0020_example.mp3],<i>Wine</i> is an alcoholic drink made from grapes.,El <i>vino</i> es una bebida alcohólica hecha de uvas.,The store carried both red and white <b>wine</b>.,La tienda tenía tanto <b>vino</b> tinto como blanco.
adventure,ədˈventʃər,<ul><li><a>aventura</a><br></li><li><a></a><a>aventurarse</a><br></li></ul>,"<img src=""02_0021.jpg"" />",[sound:02_0021.mp3],[sound:02_0021_meaning.mp3],[sound:02_0021_example.mp3],An <i>adventure</i> is a fun or exciting thing that you do.,Una <i>aventura</i> es algo divertido o emocionante que haces.,Riding in the rough water was an <b>adventure</b>.,Navegar en las aguas turbulentas fue una <b>aventura</b>.
approach,əˈprəʊtʃ,<ul><li><a>enfoque</a><br></li><li><a></a><a>acercamiento</a><br></li><li><a></a><a>aproximación</a><br></li><li><a></a><a></a><a>actitud</a><br></li><li><a></a><a></a><a>tratamiento</a><br></li><li><a></a><a></a><a>abordar</a><br></li><li><a></a><a></a><a>acercarse</a><br></li><li><a></a><a></a><a>enfocar</a><br></li><li><a></a><a>dirigirse</a><br></li><li><a></a><a>avecinarse</a><br></li><li><a></a><a></a><a>aproximarse</a><br></li><li><a></a><a>acercar</a><br></li></ul>,"<img src=""02_0022.jpg"" />",[sound:02_0022.mp3],[sound:02_0022_meaning.mp3],[sound:02_0022_example.mp3],To <i>approach</i> something means to move close to it.,<i>Aproximarse</i> a algo significa acercarse a ello.,The boy <b>approached</b> his school.,El niño se <b>acercó</b> a su escuela.
carefully,ˈkerfəli,<ul><li>cuidadosamente</li><li>atentamente</li><li>con cuidado</li><li>minuciosamente</li><li>esmeradamente</li><li>diligentemente</li><li>prudentemente</li><li>acuciosamente</li><li>reservadamente</li><li>precavidamente</li></ul>,"<img src=""02_0023.jpg"" />",[sound:02_0023.mp3],[sound:02_0023_meaning.mp3],[sound:02_0023_example.mp3],"<i>Carefully</i> means with great attention, especially to detail or safety.","<i>Cuidadosamente</i> significa con gran atención, especialmente a los detalles o la seguridad.",The baby <b>carefully</b> climbed down the stairs.,El bebé bajó las escaleras <b>cuidadosamente</b>.
chemical,ˈkemɪkl,<ul><li><a>química<br></a></li><li><a>químico</a><br></li><li><a></a><a>sustancia química</a><br></li></ul>,"<img src=""02_0024.jpg"" />",[sound:02_0024.mp3],[sound:02_0024_meaning.mp3],[sound:02_0024_example.mp3],A <i>chemical</i> is something that scientists use in chemistry.,Un <i>químico</i> es algo que los científicos usan en química.,The scientist mixed the <b>chemicals</b>.,El científico mezcló los <b>químicos</b>.
create,kriˈeɪt,<ul><li>crear</li><li>generar</li><li>causar</li><li>inventar</li><li>elaborar</li><li>formar</li><li>producir</li><li>conformar</li><li>constituir</li><li>provocar</li><li>ocasionar</li><li>armar</li><li>originar</li><li>hacer</li><li>encarnar</li><li>desarrollar</li><li>nombrar</li></ul>,"<img src=""02_0025.jpg"" />",[sound:02_0025.mp3],[sound:02_0025_meaning.mp3],[sound:02_0025_example.mp3],To <i>create</i> means to make something new.,<i>Crear</i> significa hacer algo nuevo.,She <b>created</b> an igloo from blocks of snow.,Ella <b>creó</b> un iglú con bloques de nieve.
evil,ˈiːvɪl,<ul><li><a>mal</a><br></li><li><a></a><a>maldad</a><br></li><li><a></a><a></a><a>perversidad</a><br></li><li><a></a><a></a><a>malo</a><br></li><li><a></a><a></a><a>malvado</a><br></li><li><a></a><a></a><a>maligno</a><br></li><li><a></a><a></a><a>diabólico</a><br></li><li><a></a><a></a><a>nocivo</a><br></li><li><a></a><a></a><a>dañino</a><br></li><li><a></a><a></a><a>malévolo</a><br></li><li><a></a><a></a><a>ruin</a><br></li></ul>,"<img src=""02_0026.jpg"">",[sound:02_0026.mp3],[sound:02_0026_meaning.mp3],[sound:02_0026_example.mp3],"<i>Evil</i> describes something or someone bad or cruel, not good.","<i>Malvado</i> describe algo o alguien malo o cruel, no bueno.","They felt a strange, <b>evil</b> presence as they got closer to the house.",Sintieron una extraña presencia <b>malvada</b> al acercarse a la casa.
experiment,ɪkˈsperɪmənt,<ul><li><a>experimentar</a><br></li><li><a></a><a>hacer un experimento</a><br></li><li><a></a><a></a><a>experimento</a><br></li><li><a></a><a></a><a>experiencia</a><br></li><li><a></a><a>ensayo</a><br></li></ul>,"<img src=""02_0027.jpg"">",[sound:02_0027.mp3],[sound:02_0027_meaning.mp3],[sound:02_0027_example.mp3],An <i>experiment</i> is a test that you do to see what will happen.,Un <i>experimento</i> es una prueba que haces para ver qué sucederá.,The student did an <b>experiment</b> in science class.,El estudiante realizó un <b>experimento</b> en la clase de ciencias.
kill,kɪl,<ul><li>matar</li><li>eliminar</li><li>asesinar</li><li>destruir</li><li>aniquilar</li><li>suprimir</li><li>dar muerte</li><li>sacrificar</li><li>liquidar</li><li>parar</li><li>apagar</li><li>pieza</li></ul>,"<img src=""02_0028.jpg"">",[sound:02_0028.mp3],[sound:02_0028_meaning.mp3],[sound:02_0028_example.mp3],To <i>kill</i> someone or something is to make them die.,<i>Matar</i> a alguien o algo es hacer que mueran.,I <b>killed</b> the fly.,Yo <b>maté</b> a la mosca.
laboratory,ˈlæbrətɔːri,<ul><li><a>laboratorio</a></li></ul>,"<img src=""02_0029.jpg"">",[sound:02_0029.mp3],[sound:02_0029_meaning.mp3],[sound:02_0029_example.mp3],A <i>laboratory</i> is a room where a scientist works.,Un <i>laboratorio</i> es una sala donde trabaja un científico.,My mother works in a <b>laboratory</b>.,Mi madre trabaja en un <b>laboratorio</b>.
laugh,læf,<ul><li><a>reír</a><br></li><li><a></a><a>reírse</a><br></li><li><a></a><a></a><a>risa</a><br></li><li><a></a><a></a><a>risas</a><br></li><li><a></a><a>carcajada</a><br></li></ul>,"<img src=""02_0030.jpg"">",[sound:02_0030.mp3],[sound:02_0030_meaning.mp3],[sound:02_0030_example.mp3],<i>Laugh</i> is the sound made when someone is happy or a funny thing occurs.,La <i>risa</i> es el sonido que se produce cuando alguien está feliz o ocurre algo gracioso.,The sound of her <b>laugh</b> filled the room.,El sonido de su <b>risa</b> llenó la habitación.
loud,laʊd,<ul><li>alto</li><li>fuerte</li><li>ruidoso</li><li>potente</li><li>sonoro</li><li>vociferante</li><li>estruendoso</li><li>bullicioso</li><li>estridente</li><li>estrepitoso</li><li>llamativo</li><li>vistoso</li></ul>,"<img src=""02_0031.jpg"">",[sound:02_0031.mp3],[sound:02_0031_meaning.mp3],[sound:02_0031_example.mp3],"If a sound is <i>loud</i>, it is strong and very easy to hear.","Si un sonido es <i>fuerte</i>, es intenso y muy fácil de escuchar.",The man’s voice was so <b>loud</b> that we all could hear him.,La voz del hombre era tan <b>fuerte</b> que todos podíamos oírlo.
nervous,ˈnɜːrvəs,<ul><li>nervioso</li><li>de los nervios</li><li>de nervios</li><li>inquieto</li><li>agitado</li><li>intranquilo</li></ul>,"<img src=""02_0032.jpg"">",[sound:02_0032.mp3],[sound:02_0032_meaning.mp3],[sound:02_0032_example.mp3],"When a person is <i>nervous</i>, they think something bad will happen.","Cuando una persona está <i>nerviosa</i>, piensa que algo malo sucederá.",The boy became <b>nervous</b> when he heard the news.,El niño se puso <b>nervioso</b> cuando escuchó la noticia.
noise,nɔɪz,<ul><li>ruido</li><li>interferencia</li><li>alboroto</li><li>barullo</li><li>algarabía</li><li>revuelo</li></ul>,"<img src=""02_0033.jpg"">",[sound:02_0033.mp3],[sound:02_0033_meaning.mp3],[sound:02_0033_example.mp3],A <i>noise</i> is an unpleasant sound.,Un <i>ruido</i> es un sonido desagradable.,The crying baby made a loud <b>noise</b>.,El bebé llorando hizo un <b>ruido</b> fuerte.
project,ˈprɑːdʒekt,<ul><li>proyecto</li><li>trabajo</li><li>obra</li><li>programa</li><li>idea</li><li>plan</li><li>proyectar</li><li>lanzar</li><li>proyectarse</li><li>prever</li><li>sobresalir</li></ul>,"<img src=""02_0034.jpg"" />",[sound:02_0034.mp3],[sound:02_0034_meaning.mp3],[sound:02_0034_example.mp3],A <i>project</i> is a type of work that you do for school or a job.,Un <i>proyecto</i> es un tipo de trabajo que haces para la escuela o el trabajo.,His afternoon work <b>project</b> was to paint the room green.,Su <b>proyecto</b> de trabajo por la tarde fue pintar la habitación de verde.
scare,sker,<div><ul><li>susto</li><li>amenaza</li><li>asustar</li><li>espantar</li><li>aterrorizar</li><li>amedrentar</li><li>intimidar</li><li>alarmista</li><li>atemorizante</li></ul></div>,"<img src=""02_0035.jpg"" />",[sound:02_0035.mp3],[sound:02_0035_meaning.mp3],[sound:02_0035_example.mp3],To <i>scare</i> someone is to make them feel afraid.,<i>Asustar</i> a alguien es hacer que se sienta con miedo.,My uncle was <b>scared</b> by what he saw in the room.,Mi tío se <b>asustó</b> por lo que vio en la habitación.
secret,ˈsiːkrət,<ul><li><a>secreto</a></li><li>confidencial</li><li>personal</li><li>clandestino</li><li>reservado</li><li><a></a><a></a><a>misterio</a><br></li></ul>,"<img src=""02_0036.jpg"" />",[sound:02_0036.mp3],[sound:02_0036_meaning.mp3],[sound:02_0036_example.mp3],A <i>secret</i> is something that you do not tell other people.,Un <i>secreto</i> es algo que no le cuentas a otras personas.,The two boys were sharing a <b>secret</b>.,Los dos niños estaban compartiendo un <b>secreto</b>.
shout,ʃaʊt,<ul><li><a>gritar</a><br></li><li><a></a><a>vociferar</a><br></li><li><a></a><a></a><a>grito</a><br></li></ul>,"<img src=""02_0037.jpg"" />",[sound:02_0037.mp3],[sound:02_0037_meaning.mp3],[sound:02_0037_example.mp3],To <i>shout</i> is to say something loudly.,<i>Gritar</i> es decir algo en voz alta.,My boss <b>shouted</b> at me because I was late for work.,Mi jefe me <b>gritó</b> porque llegué tarde al trabajo.
smell,smel,<ul><li>olor</li><li>olfato</li><li>aroma</li><li>hedor</li><li>husmeo</li><li>perfume</li><li>oler</li><li>apestar</li><li>sentir</li><li>olisquear</li><li>heder</li><li>olfatear</li></ul>,"<img src=""02_0038.jpg"" />",[sound:02_0038.mp3],[sound:02_0038_meaning.mp3],[sound:02_0038_example.mp3],To <i>smell</i> something means to use your nose to sense it.,<i>Oler</i> algo significa usar tu nariz para percibirlo.,The two friends <b>smelled</b> the flower.,Los dos amigos <b>olieron</b> la flor.
terrible,ˈterəbl,<ul><li><a>terrible</a><br></li><li><a></a><a>pésimo</a><br></li><li><a></a><a></a><a>horrible</a><br></li><li><a></a><a></a><a>temible</a><br></li><li><a></a><a></a><a>espantoso</a><br></li><li><a></a><a></a><a>tremendo</a><br></li><li>aterrador</li><li>lamentable</li><li>nefasta</li><li>funesto</li><li>horrendo</li><li>severo</li></ul>,"<img src=""02_0039.jpg"" />",[sound:02_0039.mp3],[sound:02_0039_meaning.mp3],[sound:02_0039_example.mp3],"If something is <i>terrible</i>, it is very bad.","Si algo es <i>terrible</i>, es muy malo.",The way he treated his classmate was <b>terrible</b>.,La forma en que trató a su compañero fue <b>terrible</b>.
worse,wɜːrs,<ul><li><a>peor</a><br></li></ul>,"<img src=""02_0040.jpg"" />",[sound:02_0040.mp3],[sound:02_0040_meaning.mp3],[sound:02_0040_example.mp3],"If something is <i>worse</i>, it is of poorer quality than another thing.","Si algo es <i>peor</i>, es de menor calidad que otra cosa.",Business was <b>worse</b> this month than last month.,El negocio fue <b>peor</b> este mes que el mes pasado.
alien,ˈeɪliən,<ul><li><a>extraterrestre</a><br></li><li><a></a><a>extranjero</a><br></li><li><a></a><a></a><a>forastero</a><br></li><li><a></a><a></a><a>ajeno</a><br></li><li><a></a><a></a><a>alienígena</a><br></li><li><a></a><a></a><a>extraño</a><br></li></ul>,"<img src=""03_0041.jpg"" />",[sound:03_0041.mp3],[sound:03_0041_meaning.mp3],[sound:03_0041_example.mp3],An <i>alien</i> is a creature from a different world.,Un <i>extraterrestre</i> es una criatura de un mundo diferente.,The <b>alien</b> came in peace.,El <b>extraterrestre</b> vino en paz.
among,əˈmʌŋ,<ul><li><a>entre</a><br></li><li><a></a><a>en</a><br></li></ul>,"<img src=""03_0042.jpg"" />",[sound:03_0042.mp3],[sound:03_0042_meaning.mp3],[sound:03_0042_example.mp3],"If you are <i>among</i> certain things, they are all around you.","Si estás <i>entre</i> ciertas cosas, están todas a tu alrededor.",There was a red apple <b>among</b> the green ones.,Había una manzana roja <b>entre</b> las verdes.
chart,tʃɑːrt,<ul><li>tabla</li><li>carta</li><li>gráfico</li><li>lista</li><li>cuadro</li><li>gráfica</li><li>organigrama</li><li>diagrama</li><li>mapa</li><li>esquema</li><li>registro</li><li>trazar</li></ul>,"<img src=""03_0043.jpg"" />",[sound:03_0043.mp3],[sound:03_0043_meaning.mp3],[sound:03_0043_example.mp3],A <i>chart</i> is a list of information.,Un <i>gráfico</i> es una lista de información.,We used a <b>chart</b> to see how we had improved.,Usamos un <b>gráfico</b> para ver cómo habíamos mejorado.
cloud,klaʊd,<div><ul><li>nube</li><li>nubosidad</li><li>nubarrón</li><li>sombra</li><li>halo de tristeza</li><li>nuboso</li><li>enturbiar</li><li>nublar</li><li>turbar</li><li>anublar</li><li>oscurecer</li><li>empañar</li></ul></div>,"<img src=""03_0044.jpg"" />",[sound:03_0044.mp3],[sound:03_0044_meaning.mp3],[sound:03_0044_example.mp3],A <i>cloud</i> is a group of water drops in the sky.,Una <i>nube</i> es un grupo de gotas de agua en el cielo.,The sky was filled with white <b>clouds</b>.,El cielo estaba lleno de <b>nubes</b> blancas.
describe,dɪˈskraɪb,<div><ul><li>describir</li><li>calificar</li><li>trazar</li><li>narrar</li><li>exponer</li><li>contar</li><li>pintar</li><li>caracterizar</li><li>relatar</li></ul></div>,"<img src=""03_0045.jpg"" />",[sound:03_0045.mp3],[sound:03_0045_meaning.mp3],[sound:03_0045_example.mp3],To <i>describe</i> is to say or write what someone or something is like.,<i>Describir</i> es decir o escribir cómo es alguien o algo.,"They <b>described</b> their tree as colorful, with gold ribbon and a star.","Ellos <b>describieron</b> su árbol como colorido, con una cinta dorada y una estrella."
ever,ˈevər,<ul><li><a>nunca</a><br></li><li><a></a><a>alguna vez</a><br></li><li><a></a><a></a><a>siempre</a><br></li><li><a></a><a></a><a>jamás</a><br></li><li><a></a><a></a><a>constantemente</a><br></li><li><a></a><a></a><a>tan</a><br></li></ul>,"<img src=""03_0046.jpg"" />",[sound:03_0046.mp3],[sound:03_0046_meaning.mp3],[sound:03_0046_example.mp3],<i>Ever</i> means at any time.,<i>Alguna vez</i> significa en cualquier momento.,Going skiing last winter was the most fun I’ve <b>ever</b> had.,Ir a esquiar el invierno pasado fue lo más divertido que <b>jamás</b> he hecho.
fail,feɪl,<ul><li>falla</li><li>suspenso</li><li>fallar</li><li>fracasar</li><li>suspender</li><li>reprobar</li><li>quebrar</li><li>faltar</li><li>omitir</li><li>errar</li></ul>,"<img src=""03_0047.jpg"" />",[sound:03_0047.mp3],[sound:03_0047_meaning.mp3],[sound:03_0047_example.mp3],To <i>fail</i> means you do not succeed in what you try to do.,<i>Fracasar</i> significa no tener éxito en lo que intentas hacer.,"Since he <b>failed</b> to get the job, he was sad.","Como <b>fracasó</b> en conseguir el trabajo, estaba triste."
grade,ɡreɪd,<ul><li>grado</li><li>calidad</li><li>curso</li><li>nota</li><li>pendiente</li><li>clase</li><li>calificación</li><li>año</li><li>categoría</li><li>graduación</li><li>calibre</li><li>puntuación</li><li>cuesta</li><li>calificar</li><li>corregir</li><li>clasificar</li><li>evaluar</li><li>graduar</li></ul>,"<img src=""03_0048.jpg"" />",[sound:03_0048.mp3],[sound:03_0048_meaning.mp3],[sound:03_0048_example.mp3],A <i>grade</i> is a score or mark given to someone’s work.,Una <i>calificación</i> es una puntuación o nota dada al trabajo de alguien.,I managed to get good <b>grades</b> on my report card.,Logré obtener buenas <b>calificaciones</b> en mi boleta.
instead,ɪnˈsted,<ul><li><a>en cambio</a><br></li><li><a>en su lugar<br></a></li><li><a></a><a>al contrario</a><br></li><li><a>en lugar de<br></a></li></ul>,"<img src=""03_0049.jpg"" />",[sound:03_0049.mp3],[sound:03_0049_meaning.mp3],[sound:03_0049_example.mp3],<i>Instead</i> means in place of.,<i>En lugar de</i> significa en lugar de algo.,He ate the carrot <b>instead</b> of the ice cream.,Él comió la zanahoria <b>en lugar de</b> el helado.
library,ˈlaɪbri,<ul><li><a>biblioteca</a><br></li><li><a></a><a>estudio</a><br></li><li><a></a><a></a><a>bibliotecario</a><br></li></ul>,"<img src=""03_0050.jpg"" />",[sound:03_0050.mp3],[sound:03_0050_meaning.mp3],[sound:03_0050_example.mp3],A <i>library</i> is a place where you go to read books.,Una <i>biblioteca</i> es un lugar donde vas a leer libros.,The <b>library</b> at school is full of books.,La <b>biblioteca</b> de la escuela está llena de libros.
photograph,ˈfəʊtəɡræf,<ul><li>fotografía</li><li>foto</li><li>fotografiar</li><li>hacer una fotografía</li><li>sacar una foto</li></ul>,"<img src=""03_0051.jpg"" />",[sound:03_0051.mp3],[sound:03_0051_meaning.mp3],[sound:03_0051_example.mp3],I like taking <i>photographs</i>.,Me gusta tomar <i>fotografías</i>.,I took this <b>photograph</b> with my cell phone.,Tomé esta <b>fotografía</b> con mi teléfono móvil.
planet,ˈplænɪt,<ul><li><a>planeta</a><br></li><li><a></a><a>globo</a><br></li></ul>,"<img src=""03_0052.jpg"" />",[sound:03_0052.mp3],[sound:03_0052_meaning.mp3],[sound:03_0052_example.mp3],A <i>planet</i> is a large round thing in space.,Un <i>planeta</i> es un objeto grande y redondo en el espacio.,Saturn is the <b>planet</b> with the ring around it.,Saturno es el <b>planeta</b> con el anillo a su alrededor.
